contributorsName,contributorsAccount,contributorsPhoto,contributorsRole,repositoryName,repositoryFullName,repoUrl,stars,forks,lastUpdate,size,topics,readmeURL,contributorsCount,commitsCount,descriptions,language
devopsconf2024,https://gitverse.rudevopsconf2024,,owner,/devopsconf2024/game,/devopsconf2024/game,https://gitverse.ru/devopsconf2024/game,0,0,,0,[],https://gitverse.ru/devopsconf2024/game/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
who_is_likhoded,https://gitverse.ruwho_is_likhoded,,owner,/who_is_likhoded/GigaChat.NET,/who_is_likhoded/GigaChat.NET,https://gitverse.ru/who_is_likhoded/GigaChat.NET,0,0,,0,[],https://gitverse.ru/who_is_likhoded/GigaChat.NET/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
muztoxa,https://gitverse.rumuztoxa,,owner,/muztoxa/ru-services,/muztoxa/ru-services,https://gitverse.ru/muztoxa/ru-services,0,0,,0,[],https://gitverse.ru/muztoxa/ru-services/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
ella,https://gitverse.ruella,,owner,/ella/tg-bot-golang,/ella/tg-bot-golang,https://gitverse.ru/ella/tg-bot-golang,0,0,,0,[],https://gitverse.ru/ella/tg-bot-golang/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
zloishavrin,https://gitverse.ruzloishavrin,,owner,/zloishavrin/gigachat-node,/zloishavrin/gigachat-node,https://gitverse.ru/zloishavrin/gigachat-node,0,0,,0,[],https://gitverse.ru/zloishavrin/gigachat-node/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
ars,https://gitverse.ruars,,owner,/ars/kavatar,/ars/kavatar,https://gitverse.ru/ars/kavatar,0,0,,0,[],https://gitverse.ru/ars/kavatar/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
ars,https://gitverse.ruars,,owner,/ars/index-investor,/ars/index-investor,https://gitverse.ru/ars/index-investor,0,0,,0,[],https://gitverse.ru/ars/index-investor/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
domclick,https://gitverse.rudomclick,,owner,/domclick/zapp,/domclick/zapp,https://gitverse.ru/domclick/zapp,0,0,,0,[],https://gitverse.ru/domclick/zapp/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
mr.alligator,https://gitverse.rumr.alligator,,owner,/mr.alligator/hello-world,/mr.alligator/hello-world,https://gitverse.ru/mr.alligator/hello-world,0,0,,0,[],https://gitverse.ru/mr.alligator/hello-world/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
sbertech,https://gitverse.rusbertech,,owner,/sbertech/ui-kit-ce,/sbertech/ui-kit-ce,https://gitverse.ru/sbertech/ui-kit-ce,0,0,,0,[],https://gitverse.ru/sbertech/ui-kit-ce/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
glscene,https://gitverse.ruglscene,,owner,/glscene/GLScene,/glscene/GLScene,https://gitverse.ru/glscene/GLScene,0,0,,0,[],https://gitverse.ru/glscene/GLScene/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
local-deploy,https://gitverse.rulocal-deploy,,owner,/local-deploy/dl,/local-deploy/dl,https://gitverse.ru/local-deploy/dl,0,0,,0,[],https://gitverse.ru/local-deploy/dl/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
brandonzorn,https://gitverse.rubrandonzorn,,owner,/brandonzorn/Nlight,/brandonzorn/Nlight,https://gitverse.ru/brandonzorn/Nlight,0,0,,0,[],https://gitverse.ru/brandonzorn/Nlight/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
evgenypopov,https://gitverse.ruevgenypopov,,owner,/evgenypopov/kafka-learning-resources,/evgenypopov/kafka-learning-resources,https://gitverse.ru/evgenypopov/kafka-learning-resources,0,0,,0,[],https://gitverse.ru/evgenypopov/kafka-learning-resources/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
FullHouse,https://gitverse.ruFullHouse,,owner,/FullHouse/RyanGosling,/FullHouse/RyanGosling,https://gitverse.ru/FullHouse/RyanGosling,0,0,,0,[],https://gitverse.ru/FullHouse/RyanGosling/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
fdsmirnov,https://gitverse.rufdsmirnov,,owner,/fdsmirnov/gigachatmirror,/fdsmirnov/gigachatmirror,https://gitverse.ru/fdsmirnov/gigachatmirror,0,0,,0,[],https://gitverse.ru/fdsmirnov/gigachatmirror/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
vv800180,https://gitverse.ruvv800180,,owner,/vv800180/VoiceTelegramBot,/vv800180/VoiceTelegramBot,https://gitverse.ru/vv800180/VoiceTelegramBot,0,0,,0,[],https://gitverse.ru/vv800180/VoiceTelegramBot/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
AIgShilova,https://gitverse.ruAIgShilova,,owner,/AIgShilova/repo-1,/AIgShilova/repo-1,https://gitverse.ru/AIgShilova/repo-1,0,0,,0,[],https://gitverse.ru/AIgShilova/repo-1/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
dilmah949,https://gitverse.rudilmah949,,owner,/dilmah949/FULLSTACK,/dilmah949/FULLSTACK,https://gitverse.ru/dilmah949/FULLSTACK,0,0,,0,[],https://gitverse.ru/dilmah949/FULLSTACK/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
sbertech,https://gitverse.rusbertech,,owner,/sbertech/ignite-go-client,/sbertech/ignite-go-client,https://gitverse.ru/sbertech/ignite-go-client,0,0,,0,[],https://gitverse.ru/sbertech/ignite-go-client/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
zireta,https://gitverse.ruzireta,,owner,/zireta/my_first_repo,/zireta/my_first_repo,https://gitverse.ru/zireta/my_first_repo,0,0,,0,[],https://gitverse.ru/zireta/my_first_repo/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
githubmirror,https://gitverse.rugithubmirror,,owner,/githubmirror/caddy,/githubmirror/caddy,https://gitverse.ru/githubmirror/caddy,0,0,,0,[],https://gitverse.ru/githubmirror/caddy/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
VladislavNik,https://gitverse.ruVladislavNik,,owner,/VladislavNik/TestingWebApp,/VladislavNik/TestingWebApp,https://gitverse.ru/VladislavNik/TestingWebApp,0,0,,0,[],https://gitverse.ru/VladislavNik/TestingWebApp/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
makarov,https://gitverse.rumakarov,,owner,/makarov/augmentor,/makarov/augmentor,https://gitverse.ru/makarov/augmentor,0,0,,0,[],https://gitverse.ru/makarov/augmentor/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
zireta,https://gitverse.ruzireta,,owner,/zireta/repa-3,/zireta/repa-3,https://gitverse.ru/zireta/repa-3,0,0,,0,[],https://gitverse.ru/zireta/repa-3/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
korovindn,https://gitverse.rukorovindn,,owner,/korovindn/app-in-smoke,/korovindn/app-in-smoke,https://gitverse.ru/korovindn/app-in-smoke,0,0,,0,[],https://gitverse.ru/korovindn/app-in-smoke/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
zloishavrin,https://gitverse.ruzloishavrin,,owner,/zloishavrin/gigachat-tg-bot,/zloishavrin/gigachat-tg-bot,https://gitverse.ru/zloishavrin/gigachat-tg-bot,0,0,,0,[],https://gitverse.ru/zloishavrin/gigachat-tg-bot/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
cloudru,https://gitverse.rucloudru,,owner,/cloudru/evo-containerapp-react-sample,/cloudru/evo-containerapp-react-sample,https://gitverse.ru/cloudru/evo-containerapp-react-sample,0,0,,0,[],https://gitverse.ru/cloudru/evo-containerapp-react-sample/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
glscene,https://gitverse.ruglscene,,owner,/glscene/ArenaC,/glscene/ArenaC,https://gitverse.ru/glscene/ArenaC,0,0,,0,[],https://gitverse.ru/glscene/ArenaC/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
githubmirror,https://gitverse.rugithubmirror,,owner,/githubmirror/gpt4free,/githubmirror/gpt4free,https://gitverse.ru/githubmirror/gpt4free,0,0,,0,[],https://gitverse.ru/githubmirror/gpt4free/content/master/README.md,,,"[<h4 class=""text-h4"">Описание</h4>, <h4 class=""mb-1 pl-10 pr-6 text-h4"">Использование cookies</h4>]",none
